source,source_id,flagged_fragrance,flagged_parabens,flagged_sulfates,flagged_phthalates,flagged_alcohol,flagged_silicones
sephora,P398965,True,False,False,False,False,False
sephora,P503741,False,False,False,False,False,False
sephora,P503754,False,False,True,False,False,True
sephora,P503762,False,False,False,False,False,False
sephora,P503732,False,False,False,False,False,False
sephora,P503763,False,False,False,False,False,False
sephora,P503767,False,False,True,False,False,True
sephora,P503759,False,False,False,False,True,False
sephora,P504779,False,False,False,False,False,False
sephora,P503731,False,False,True,False,False,True
sephora,P202633,False,False,False,False,False,False
sephora,P384060,False,True,False,False,False,True
sephora,P404832,False,False,False,False,False,True
sephora,P404831,False,False,False,False,False,False
sephora,P409118,False,False,False,False,False,True
sephora,P58930227,False,False,False,False,False,True
sephora,P386335,False,True,False,False,False,True
sephora,P404827,False,False,False,False,False,False
sephora,P404830,True,True,False,False,False,False
sephora,P406576,False,False,False,False,False,True
sephora,P69304,False,True,False,False,True,False
sephora,P69300,False,True,False,False,False,False
sephora,P468341,False,False,False,False,False,False
sephora,P423925,False,False,False,False,False,True
sephora,P454751,False,True,False,False,True,False
sephora,P410504,False,False,False,False,False,True
sephora,P452735,False,False,False,False,False,False
sephora,P187202,False,False,False,False,True,False
sephora,P441838,False,False,False,False,False,True
sephora,P480576,False,False,False,False,False,False
sephora,P420162,False,False,False,False,False,True
sephora,P386783,False,False,False,False,False,False
sephora,P442999,False,False,False,False,False,True
sephora,P449124,False,False,False,False,False,True
sephora,P69305,False,False,False,False,False,False
sephora,P480575,False,False,False,False,False,False
sephora,P450846,False,False,False,False,False,True
sephora,P462328,False,False,True,False,False,True
sephora,P443753,True,False,False,False,False,False
sephora,P448161,False,False,False,False,False,True
sephora,P463420,False,False,False,False,False,True
sephora,P427916,False,False,False,False,False,True
sephora,P474813,False,False,False,False,False,True
sephora,P450845,False,False,False,False,False,True
sephora,P457246,False,False,False,True,False,True
sephora,P475045,False,False,False,False,False,True
sephora,P224610,False,True,True,False,False,False
sephora,P474812,False,False,False,False,False,True
sephora,P473261,False,False,False,True,False,True
sephora,P450720,False,False,False,False,False,True
sephora,P406577,False,False,False,False,False,False
sephora,P395205,False,True,False,False,False,True
sephora,P463783,False,True,False,False,True,True
sephora,P449149,False,False,False,False,False,True
sephora,P468343,False,False,False,False,False,False
sephora,P420204,False,False,False,False,False,True
sephora,P500629,False,False,False,False,False,True
sephora,P482659,False,False,False,True,False,True
sephora,P468344,False,False,False,False,False,True
sephora,P446027,False,False,False,False,False,True
sephora,P471735,False,False,False,False,False,True
sephora,P478230,False,False,False,False,False,False
sephora,P173317,False,True,False,False,False,False
sephora,P449151,False,False,False,False,False,False
sephora,P477809,False,False,True,False,False,True
sephora,P455981,False,False,False,False,False,False
sephora,P503556,False,False,False,False,False,True
sephora,P456591,False,False,False,False,False,False
sephora,P423923,False,False,False,False,False,False
sephora,P390228,False,False,False,False,False,False
sephora,P468342,True,False,False,False,False,True
sephora,P500604,False,False,False,False,False,True
sephora,P483069,False,True,False,False,True,True
sephora,P410502,False,False,False,False,False,True
sephora,P500402,False,False,False,False,False,False
sephora,P470000,False,False,False,False,False,False
sephora,P473262,True,False,False,False,False,False
sephora,P470504,False,False,False,False,False,False
sephora,P504629,False,False,True,False,False,True
sephora,P470001,False,False,False,False,False,False
sephora,P393401,True,True,True,False,True,True
sephora,P393411,False,False,False,False,False,True
sephora,P393434,False,False,False,False,False,False
sephora,P416785,True,False,True,False,True,True
sephora,P471221,False,False,False,False,False,False
sephora,P456158,False,False,True,False,False,False
sephora,P441817,False,False,True,False,False,True
sephora,P458270,False,False,False,False,True,True
sephora,P472016,False,False,False,False,False,True
sephora,P449793,False,False,False,False,False,True
sephora,P393671,False,False,False,False,False,True
sephora,P469846,True,False,True,False,True,True
sephora,P393672,False,False,True,False,False,False
sephora,P481814,False,False,True,False,False,True
sephora,P393669,False,False,False,False,False,True
sephora,P482507,True,True,True,False,True,True
sephora,P503765,False,False,False,False,False,True
sephora,P429271,False,False,False,False,False,False
sephora,P456967,True,False,True,False,False,True
sephora,P456966,False,False,False,False,False,True
sephora,P451642,False,False,False,False,False,False
sephora,P484029,False,False,False,False,False,False
sephora,P473181,False,False,False,False,False,False
sephora,P482509,False,False,False,True,False,False
sephora,P479301,False,False,False,False,False,True
sephora,P472308,False,False,False,False,False,False
sephora,P448851,False,False,False,False,False,True
sephora,P472307,False,False,False,False,False,True
sephora,P502588,False,False,False,False,False,False
sephora,P393356,False,False,False,False,False,False
sephora,P61004,False,False,False,False,False,False
sephora,P410543,False,False,False,False,False,True
sephora,P61005,False,False,False,False,False,False
sephora,P469839,False,False,False,False,False,True
sephora,P455324,False,False,False,False,False,False
sephora,P427652,False,False,True,False,False,True
sephora,P469847,False,False,False,False,False,True
sephora,P470512,False,False,False,False,False,False
sephora,P473848,False,False,False,False,False,False
sephora,P461132,False,False,False,False,False,False
sephora,P473841,False,False,False,False,False,False
sephora,P501215,False,False,False,False,False,True
sephora,P473842,False,False,False,False,False,False
sephora,P501217,False,False,False,False,False,False
sephora,P481951,False,False,False,False,False,False
sephora,P504122,False,False,False,False,False,True
sephora,P158509,False,False,False,False,False,False
sephora,P504153,False,False,False,False,False,True
sephora,P433987,False,False,False,False,False,True
sephora,P477136,False,False,False,False,False,True
sephora,P455325,False,False,False,False,False,True
sephora,P475051,False,False,False,False,False,True
sephora,P484031,False,False,False,False,False,True
sephora,P471744,False,False,False,False,False,False
sephora,P470004,False,False,False,False,False,False
sephora,P290636,False,True,False,False,False,True
sephora,P264900,True,False,False,False,False,True
sephora,P289307,False,False,True,False,False,False
sephora,P409239,False,False,False,False,False,False
sephora,P408219,False,False,False,False,False,False
sephora,P392516,False,False,False,False,False,False
sephora,P1272,True,True,False,False,False,False
sephora,P408218,False,False,False,False,False,False
sephora,P440700,False,False,False,False,False,False
sephora,P427517,False,False,False,False,False,False
sephora,P409242,False,False,False,False,False,True
sephora,P447375,False,False,False,False,False,True
sephora,P38347,True,False,False,False,False,False
sephora,P500253,True,False,False,False,False,True
sephora,P1273,False,False,False,False,False,False
sephora,P461925,False,False,False,False,False,True
sephora,P450856,False,False,False,False,False,True
sephora,P448162,False,False,False,False,False,True
sephora,P417320,True,False,False,False,False,False
sephora,P440952,False,False,True,False,False,False
sephora,P440951,False,False,True,False,False,False
sephora,P425933,False,False,False,False,False,False
sephora,P466656,True,False,False,False,False,True
sephora,P408312,False,False,True,False,True,False
sephora,P474932,False,False,False,False,False,True
sephora,P482664,False,False,False,False,False,False
sephora,P469203,False,False,False,False,False,False
sephora,P503681,False,False,False,False,False,True
sephora,P500840,False,False,False,False,False,True
sephora,P475910,False,False,False,False,False,True
